2024-12-03 01:03:26.212 +04 [6260] СООБЩЕНИЕ:  система БД была выключена: 2024-12-03 01:02:59 +04
2024-12-03 01:08:26.216 +04 [6244] СООБЩЕНИЕ:  начата контрольная точка: time
2024-12-03 01:08:26.233 +04 [6244] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 3 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.003 сек., синхр.=0.004 сек., всего=0.021 сек.; синхронизировано_файлов=2, самая_долгая_синхр.=0.003 сек., средняя=0.002 сек.; расстояние=0 kB, ожидалось=0 kB; lsn=0/232ABE8, lsn redo=0/232AB90
2024-12-03 14:47:23.082 +04 [6244] СООБЩЕНИЕ:  начата контрольная точка: time
2024-12-03 14:47:23.202 +04 [6244] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 2 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.108 сек., синхр.=0.004 сек., всего=0.126 сек.; синхронизировано_файлов=2, самая_долгая_синхр.=0.003 сек., средняя=0.002 сек.; расстояние=1 kB, ожидалось=1 kB; lsn=0/232B1A0, lsn redo=0/232B148
2024-12-03 16:56:22.329 +04 [4228] РЎРћРћР‘Р©Р•РќРР•:  РЅРµ СѓРґР°Р»РѕСЃСЊ РїРѕР»СѓС‡РёС‚СЊ РґР°РЅРЅС‹Рµ РѕС‚ РєР»РёРµРЅС‚Р°: An existing connection was forcibly closed by the remote host.
	
2024-12-03 16:56:22.329 +04 [4224] РЎРћРћР‘Р©Р•РќРР•:  РЅРµ СѓРґР°Р»РѕСЃСЊ РїРѕР»СѓС‡РёС‚СЊ РґР°РЅРЅС‹Рµ РѕС‚ РєР»РёРµРЅС‚Р°: An existing connection was forcibly closed by the remote host.
	
2024-12-03 16:56:22.329 +04 [6636] РЎРћРћР‘Р©Р•РќРР•:  РЅРµ СѓРґР°Р»РѕСЃСЊ РїРѕР»СѓС‡РёС‚СЊ РґР°РЅРЅС‹Рµ РѕС‚ РєР»РёРµРЅС‚Р°: An existing connection was forcibly closed by the remote host.
	
2024-12-03 16:57:23.386 +04 [6244] СООБЩЕНИЕ:  начата контрольная точка: time
2024-12-03 16:57:35.367 +04 [6244] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 109 (0.7%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=11.914 сек., синхр.=0.057 сек., всего=11.981 сек.; синхронизировано_файлов=70, самая_долгая_синхр.=0.005 сек., средняя=0.001 сек.; расстояние=552 kB, ожидалось=552 kB; lsn=0/23B5408, lsn redo=0/23B5378
2024-12-03 17:12:23.392 +04 [6244] СООБЩЕНИЕ:  начата контрольная точка: time
2024-12-03 17:12:23.954 +04 [6244] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 6 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.547 сек., синхр.=0.009 сек., всего=0.563 сек.; синхронизировано_файлов=5, самая_долгая_синхр.=0.005 сек., средняя=0.002 сек.; расстояние=1 kB, ожидалось=497 kB; lsn=0/23B5AC0, lsn redo=0/23B5A68
2024-12-03 19:17:24.161 +04 [6244] СООБЩЕНИЕ:  начата контрольная точка: time
2024-12-03 19:17:33.668 +04 [6244] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 87 (0.5%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=9.440 сек., синхр.=0.054 сек., всего=9.507 сек.; синхронизировано_файлов=67, самая_долгая_синхр.=0.002 сек., средняя=0.001 сек.; расстояние=420 kB, ожидалось=489 kB; lsn=0/241EE08, lsn redo=0/241ED78
2024-12-03 19:22:24.679 +04 [6244] СООБЩЕНИЕ:  начата контрольная точка: time
2024-12-03 19:22:26.020 +04 [6244] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 12 (0.1%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=1.323 сек., синхр.=0.007 сек., всего=1.342 сек.; синхронизировано_файлов=7, самая_долгая_синхр.=0.002 сек., средняя=0.001 сек.; расстояние=37 kB, ожидалось=444 kB; lsn=0/24281D8, lsn redo=0/2428180
2024-12-03 19:27:24.035 +04 [6244] СООБЩЕНИЕ:  начата контрольная точка: time
2024-12-03 19:27:24.828 +04 [6244] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 8 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.772 сек., синхр.=0.011 сек., всего=0.793 сек.; синхронизировано_файлов=7, самая_долгая_синхр.=0.005 сек., средняя=0.002 сек.; расстояние=1 kB, ожидалось=400 kB; lsn=0/2428908, lsn redo=0/24288B0
2024-12-03 20:27:24.930 +04 [6244] СООБЩЕНИЕ:  начата контрольная точка: time
