2024-12-18 11:06:44.768 +04 [6116] СООБЩЕНИЕ:  работа системы БД была прервана; последний момент работы: 2024-12-18 02:58:57 +04
2024-12-18 11:06:45.714 +04 [6116] СООБЩЕНИЕ:  система БД была остановлена нештатно; производится автоматическое восстановление
2024-12-18 11:06:45.718 +04 [6116] СООБЩЕНИЕ:  запись REDO начинается со смещения 0/27A7570
2024-12-18 11:06:45.720 +04 [6116] СООБЩЕНИЕ:  неверная длина записи в позиции 0/27A7B68: ожидалось минимум 24, получено 0
2024-12-18 11:06:45.720 +04 [6116] СООБЩЕНИЕ:  записи REDO обработаны до смещения 0/27A7B30, нагрузка системы: CPU: пользов.: 0.00 с, система: 0.00 с, прошло: 0.00 с
2024-12-18 11:06:45.724 +04 [6072] СООБЩЕНИЕ:  начата контрольная точка: end-of-recovery immediate wait
2024-12-18 11:06:45.737 +04 [6072] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 8 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.002 сек., синхр.=0.006 сек., всего=0.016 сек.; синхронизировано_файлов=7, самая_долгая_синхр.=0.001 сек., средняя=0.001 сек.; расстояние=1 kB, ожидалось=1 kB; lsn=0/27A7B68, lsn redo=0/27A7B68
2024-12-18 18:41:46.247 +04 [6072] СООБЩЕНИЕ:  начата контрольная точка: time
2024-12-18 18:41:55.058 +04 [6072] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 81 (0.5%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=8.745 сек., синхр.=0.052 сек., всего=8.812 сек.; синхронизировано_файлов=69, самая_долгая_синхр.=0.005 сек., средняя=0.001 сек.; расстояние=395 kB, ожидалось=395 kB; lsn=0/280AA90, lsn redo=0/280AA00
2024-12-18 21:50:53.619 +04 [7600] РЎРћРћР‘Р©Р•РќРР•:  РЅРµ СѓРґР°Р»РѕСЃСЊ РїРѕР»СѓС‡РёС‚СЊ РґР°РЅРЅС‹Рµ РѕС‚ РєР»РёРµРЅС‚Р°: An existing connection was forcibly closed by the remote host.
	
